job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,skills,salary_max,company_size_num,company_size_group,skills_clean,skill_count,salary_max_new
data scientist,senior,on-site,company_310,"Doral, FL",2 days ago,"Arlington, VA, US",Technology,Public,"20,010",Public,"['r', 'python', 'sql', 'machine learning', 'tableau']",129236.0,20010.0,large,r|python|sql|machine learning|tableau,5,168006.80000000002
data scientist,senior,,company_763,"Gurugram, Haryana, India . Hyderabad, Telangana, India",6 days ago,"New York, NY, US",Technology,Public,"26,640",Public,"['pytorch', 'aws', 'git', 'python', 'java', 'gcp', 'azure', 'tensorflow']",18678.0,26640.0,large,pytorch|aws|git|python|java|gcp|azure|tensorflow,8,24281.4
data scientist,lead,,company_993,"Bengaluru, Karnataka, India",7 days ago,"Chennai, TN, IN",Technology,Private,590,Private,"['pytorch', 'aws', 'python', 'docker', 'machine learning', 'gcp', 'deep learning', 'azure', 'tensorflow']",23240.0,590.0,small,pytorch|aws|python|docker|machine learning|gcp|deep learning|azure|tensorflow,9,23240.0
data scientist,junior,hybrid,company_313,"Toronto, Ontario, Canada . Markham, Ontario, Canada . Hybrid",14 days ago,"London, GB",Finance,Public,"29,530",Public,['python'],73455.0,29530.0,large,python,1,95491.5
machine learning engineer,senior,hybrid,company_233,"San Diego, CA . Hybrid",a month ago,"Reston, VA, US",Technology,Public,"27,390",Public,['r'],208201.0,27390.0,large,r,1,270661.3
data scientist,senior,,company_223,"London, England, United Kingdom",a month ago,"New York, NY, US",Technology,Public,"10,030",Public,"['powerbi', 'python', 'sql', 'machine learning', 'tableau']",76372.0,10030.0,medium,powerbi|python|sql|machine learning|tableau,5,84009.20000000001
machine learning engineer,senior,,company_106,"Pune, Maharashtra, India",4 days ago,"København, DK",Logistics,Private,"38,120",€34.27B,"['spark', 'aws', 'powerbi', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']",26752.0,38120.0,large,spark|aws|powerbi|python|docker|sql|machine learning|gcp|kubernetes|deep learning|azure,11,34777.6
data scientist,,on-site,company_888,On-site,5 days ago,"London, GB",Technology,Private,600,Private,[],112341.0,600.0,small,,0,112341.0
data scientist,senior,on-site,company_917,"Mountain View, CA . New York, NY . San Bruno, CA",14 days ago,"Mountain View, CA, US",Technology,Public,"258,800",€1.39T,"['sql', 'r', 'python']",265787.0,258800.0,large,sql|r|python,3,345523.10000000003
data scientist,lead,on-site,company_395,"Richmond, VA",a month ago,"McLean, VA, US",Retail,Public,"55,140",€36.08B,"['spark', 'aws', 'r', 'python', 'scala', 'database', 'sql', 'machine learning', 'kubernetes', 'deep learning']",219933.0,55140.0,large,spark|aws|r|python|scala|database|sql|machine learning|kubernetes|deep learning,10,285912.9
data scientist,senior,hybrid,company_983,"Fort Meade, MD . Hybrid",23 days ago,"McLean, VA, US",Technology,Public,"27,070",Public,"['machine learning', 'python']",205503.0,27070.0,large,machine learning|python,2,267153.9
